Amount,MerchantID,TransactionType,Location,IsFraud
1064.75,816,purchase,New York,0
1950.97,648,purchase,San Antonio,0
3033.38,207,refund,San Diego,0
4579.91,806,purchase,Chicago,0
4463.06,616,purchase,New York,0
4824.21,163,refund,Phoenix,0
1606.55,728,refund,Phoenix,0
3050.67,814,purchase,Philadelphia,0
3465.81,688,purchase,Dallas,0
1629.28,621,refund,Houston,0
3806.2,141,refund,Houston,0
3506.76,282,refund,Phoenix,0
1893.07,818,purchase,Houston,0
3022.31,294,refund,San Antonio,0
1649.57,675,purchase,San Antonio,0
2735.8,574,purchase,San Diego,0
602.35,381,purchase,San Antonio,0
3214.15,565,purchase,Los Angeles,0
3732.15,794,refund,Phoenix,0
1705.68,174,purchase,Chicago,0
3354.2,207,purchase,Phoenix,0
1155.19,187,refund,Houston,0
22.08,964,purchase,Philadelphia,0
2545.43,118,refund,Houston,0
3173.84,279,purchase,Philadelphia,0
2458.68,681,refund,San Antonio,0
331.2,796,refund,San Jose,0
3947.38,434,refund,San Jose,0
768.44,1,purchase,Phoenix,0
3277.91,824,purchase,Philadelphia,0
4385.78,560,refund,San Jose,0
4195.53,789,refund,San Jose,0
2596.94,471,refund,San Diego,0
4411.72,666,refund,San Diego,0
1796.39,584,refund,New York,0
1282.88,255,purchase,San Diego,0
1812.72,28,purchase,San Antonio,0
2105.09,551,refund,San Jose,0
180.77,826,refund,Phoenix,0
68.85,737,purchase,Phoenix,0
194.61,303,refund,San Diego,0
4100.37,3,purchase,Los Angeles,0
3246.92,505,refund,San Jose,0
3411.73,502,refund,Houston,0
3342.67,484,purchase,San Diego,0
620.53,582,purchase,Phoenix,0
1986.08,714,refund,Phoenix,0
3427.7,232,purchase,Los Angeles,0
4954.15,210,refund,Houston,0
2282.14,27,purchase,Los Angeles,0
1489.88,706,purchase,San Diego,0
65.35,429,purchase,Dallas,0
1919.7,828,refund,Dallas,0
2189.78,174,refund,Chicago,0
3666.78,361,purchase,New York,0
4315.43,627,purchase,Philadelphia,0
3651.59,75,refund,San Diego,0
1703.8,916,purchase,San Jose,1
4248.1,862,purchase,San Jose,1
1706.64,417,refund,San Antonio,0
2444.96,615,purchase,New York,0
2945.76,37,purchase,Philadelphia,0
4971.31,786,purchase,Los Angeles,0
2805.81,345,refund,Phoenix,0
4271.92,367,purchase,Houston,0
3715.22,722,purchase,New York,0
4240.22,883,purchase,Dallas,0
582.83,409,refund,Los Angeles,0
38.88,109,purchase,Chicago,0
4906.35,167,refund,San Antonio,0
372.55,743,purchase,New York,0
1650.68,631,refund,Los Angeles,0
300.25,201,refund,Dallas,0
967.46,240,purchase,Dallas,0
2051.75,921,purchase,Chicago,0
1641.32,826,purchase,San Jose,1
407.51,116,refund,Chicago,0
2960.27,965,purchase,San Jose,0
3128.51,719,refund,Dallas,0
1463.83,627,refund,Los Angeles,0
2587.29,43,refund,Houston,0
165.69,573,refund,Chicago,0
1408.59,151,refund,San Jose,0
4398.94,919,refund,Chicago,0
3365.82,452,purchase,San Diego,0
547.72,411,purchase,Philadelphia,0
3403.92,205,purchase,San Diego,0
4160.09,990,purchase,Houston,0
3146.9,303,purchase,Los Angeles,0
4778.31,780,refund,Chicago,0
2890.29,256,refund,Chicago,0
4230.17,797,purchase,San Antonio,0
3387.78,220,refund,San Jose,0
2837.46,289,refund,San Antonio,0
1956.96,443,purchase,Phoenix,0
2798.04,388,refund,San Jose,0
1774.01,576,purchase,Phoenix,0
1232.42,279,refund,New York,0
473.7,445,refund,San Jose,0
1265.07,148,purchase,Dallas,0
3726.83,169,refund,Houston,0
1650.29,515,refund,San Diego,0
4125.33,4,refund,San Antonio,0
3506.49,488,purchase,New York,0
604.3,233,refund,Philadelphia,0
984.71,496,purchase,Dallas,0
4541.36,744,purchase,Phoenix,0
4127.8,298,refund,San Jose,0
1074.36,53,purchase,Phoenix,0
3305.73,59,purchase,Philadelphia,0
2790.95,193,purchase,San Diego,0
3145.56,947,purchase,New York,0
4116.82,337,refund,Philadelphia,0
670.64,248,purchase,Los Angeles,0
1417.05,966,purchase,Houston,0
3699.99,827,refund,New York,0
1805.95,980,refund,Los Angeles,0
2003.64,949,refund,San Diego,0
338.18,973,purchase,San Jose,0
3069.16,919,refund,New York,0
1809.94,101,refund,San Jose,0
3660.29,623,purchase,Philadelphia,0
4228.23,590,purchase,San Jose,0
996.58,113,purchase,Los Angeles,0
979.4,598,purchase,Chicago,0
4310.64,106,refund,Chicago,0
1841.08,933,refund,Houston,0
965.29,67,refund,San Jose,0
2347.86,691,purchase,Chicago,0
1289.36,1,refund,New York,0
1176.73,662,refund,Chicago,0
3503.11,855,refund,Chicago,0
1730.85,750,refund,San Jose,0
4429.98,47,refund,Phoenix,0
565.41,618,refund,Dallas,0
704.9,371,refund,Dallas,0
1544.68,695,purchase,Los Angeles,0
732.16,207,refund,San Diego,0
3015.08,280,purchase,Chicago,0
1307.15,136,refund,San Antonio,0
1834.32,63,purchase,Dallas,0
2454.34,197,refund,San Jose,0
1392.09,780,purchase,New York,0
4815.35,848,purchase,Houston,0
3513.45,519,purchase,New York,0
724.56,736,refund,New York,0
1820.34,864,refund,San Jose,0
964.78,76,purchase,San Diego,0
4186.42,731,refund,New York,0
4305.23,645,refund,Houston,0
3397.65,972,refund,San Jose,0
4603.97,843,purchase,Chicago,0
2125.83,785,purchase,San Jose,0
1741.04,914,refund,San Antonio,0
2902.39,870,purchase,Dallas,0
4259.96,874,refund,Dallas,0
2887.65,67,refund,Chicago,0
740.58,671,purchase,Los Angeles,0
2121.28,480,refund,San Antonio,0
3524.33,302,refund,San Antonio,0
3857.24,529,purchase,Los Angeles,0
716.93,849,purchase,Phoenix,0
1693.43,804,purchase,San Jose,0
4862.44,466,purchase,Chicago,0
2783.65,497,purchase,San Diego,0
2785.32,882,refund,Los Angeles,0
4678.38,98,purchase,San Diego,0
3879.7,887,purchase,San Diego,0
746.71,332,refund,Chicago,0
520.72,156,refund,Dallas,0
3513.39,542,purchase,San Antonio,0
4734.11,57,purchase,Phoenix,0
3303.14,925,purchase,Los Angeles,0
4979.6,540,purchase,New York,0
2505.91,115,purchase,Los Angeles,0
4930.26,8,refund,San Antonio,0
2793.96,768,purchase,Houston,0
4912.62,886,purchase,San Jose,0
729.64,278,refund,Dallas,0
2130.43,213,refund,Los Angeles,0
2094.02,704,refund,San Diego,0
928.58,338,purchase,Chicago,0
1594.15,756,purchase,New York,0
3002.5,108,purchase,Philadelphia,0
3744.54,130,refund,San Diego,0
1491.33,45,refund,San Diego,0
281.18,237,purchase,Philadelphia,1
2955.28,340,refund,Dallas,0
82,527,purchase,Houston,0
3886.43,870,purchase,Chicago,0
2513.33,693,purchase,Houston,0
4517.78,744,purchase,Los Angeles,0
3621.27,449,refund,San Diego,0
4422.71,574,purchase,San Antonio,0
581.79,985,purchase,Chicago,0
899.87,201,refund,Los Angeles,0
3237.7,277,refund,Houston,0
1569.25,73,purchase,San Jose,0
282.62,850,purchase,Dallas,0
1487.26,671,refund,San Antonio,0
2537.67,347,purchase,Los Angeles,0
3890.85,799,refund,Houston,0
2932.28,443,purchase,Chicago,0
1243.23,288,purchase,San Diego,0
117.1,597,purchase,New York,0
3957.22,439,refund,Phoenix,0
1511.63,636,refund,New York,0
574.35,75,purchase,Chicago,0
2269.92,347,purchase,Philadelphia,0
1751.23,243,purchase,Dallas,0
770.07,791,purchase,New York,0
3986.28,64,purchase,New York,0
126.1,487,refund,Philadelphia,0
1688.19,755,refund,Dallas,0
2775.13,904,purchase,Philadelphia,0
4610.03,353,purchase,San Jose,0
4277.16,789,purchase,San Diego,0
3584.64,96,refund,New York,0
3588.5,282,refund,San Jose,0
2370.24,527,refund,New York,0
2740.4,107,refund,Los Angeles,0
2107.38,398,refund,San Jose,0
4655.62,598,refund,Philadelphia,0
1409.44,881,purchase,San Jose,0
2195.59,413,purchase,Chicago,0
3103.56,294,refund,Chicago,0
2755.44,230,refund,Houston,0
1194.12,601,refund,San Diego,0
824.41,590,purchase,Philadelphia,0
2287.14,734,purchase,Dallas,0
774.53,989,purchase,Los Angeles,0
2330.25,247,refund,Dallas,0
3747.26,767,purchase,San Diego,0
4233.04,686,refund,Phoenix,0
3457.83,899,purchase,San Diego,0
1726.8,118,refund,New York,0
3126.8,906,refund,Philadelphia,0
3047.66,789,purchase,New York,1
3449.36,405,purchase,Chicago,0
833.04,488,purchase,Philadelphia,0
248.65,973,refund,Chicago,0
1638.6,713,refund,San Jose,0
327.46,924,purchase,San Diego,0
97.25,842,refund,Dallas,0
1443.1,241,purchase,Philadelphia,0
4640.59,854,purchase,Houston,0
2469.63,787,refund,Los Angeles,0
572.08,80,purchase,San Jose,0
1845.36,584,purchase,Houston,0
1509.3,130,purchase,Phoenix,0
1650.3,446,refund,Los Angeles,0
999.14,436,refund,Los Angeles,0
4157.23,236,refund,Phoenix,0
2352.91,93,refund,Los Angeles,0
3568.87,311,refund,Dallas,0
3390.19,921,refund,Los Angeles,0
4729.42,655,refund,Chicago,0
2152.93,648,refund,New York,0
3596.87,838,purchase,Los Angeles,0
3289.01,14,purchase,Chicago,0
2016.55,964,purchase,Chicago,0
4063.63,963,purchase,Dallas,0
2055.05,726,purchase,New York,0
694.88,575,refund,New York,0
1585.62,799,purchase,New York,0
4561.25,271,refund,San Antonio,0
4224.27,104,refund,Phoenix,0
2988.96,239,refund,San Diego,0
814.35,312,refund,Philadelphia,0
3129.08,489,purchase,San Diego,0
1267.8,8,refund,Houston,0
3799.67,41,purchase,San Diego,0
3433.05,848,purchase,Philadelphia,0
2729.2,803,purchase,San Diego,0
4686.29,681,purchase,New York,0
1901.04,431,purchase,Phoenix,0
164.15,740,purchase,San Antonio,0
1707,985,refund,Phoenix,0
558.72,460,purchase,Houston,0
3415.01,572,purchase,New York,0
3267.07,275,refund,New York,0
4056.75,45,purchase,San Jose,0
4707.69,595,purchase,Phoenix,0
2092.28,769,refund,Houston,0
205.48,983,purchase,Chicago,0
1586.16,29,purchase,San Jose,0
2168.32,136,purchase,Dallas,0
1717.95,889,refund,Los Angeles,0
4709.06,675,purchase,Philadelphia,0
1458.12,106,refund,Houston,0
4707.74,115,purchase,Chicago,0
4151.98,381,refund,Houston,0
1845.18,414,refund,San Antonio,0
2121.47,964,purchase,Dallas,0
1561.2,654,purchase,New York,0
1343.61,765,refund,New York,0
1235.24,275,refund,San Diego,0
3435.02,724,refund,Philadelphia,0
3769.64,639,purchase,Philadelphia,0
2038.53,399,refund,San Diego,0
3046.83,433,refund,San Jose,0
1148.82,761,purchase,San Jose,0
1414.07,435,refund,Dallas,0
2122.77,224,purchase,Los Angeles,0
413.62,550,purchase,Houston,0
4559.95,402,purchase,New York,0
184.8,948,purchase,Phoenix,0
533.65,821,refund,San Diego,0
1953.36,83,purchase,San Diego,0
4399.45,275,purchase,San Antonio,0
3466.73,494,refund,Philadelphia,0
1564.1,120,refund,Los Angeles,0
4072.13,146,purchase,Chicago,0
1307.87,928,refund,Los Angeles,0
1154.79,894,refund,Phoenix,0
243.7,974,purchase,San Diego,0
4522.96,730,purchase,Los Angeles,0
2072.97,103,purchase,San Jose,0
199.97,798,refund,Phoenix,0
4231.9,204,purchase,Dallas,0
1278.76,788,purchase,Chicago,0
3267.74,286,refund,Dallas,0
353.12,818,refund,Houston,0
1008.91,13,purchase,San Antonio,0
815.82,198,purchase,San Antonio,0
3574.71,64,purchase,New York,0
4448.41,884,purchase,Los Angeles,0
3405.11,273,refund,Phoenix,0
2051.67,694,refund,Philadelphia,0
2333.98,46,refund,Phoenix,0
3776.8,82,purchase,San Jose,0
2824.48,269,purchase,San Antonio,0
690.02,71,purchase,Phoenix,0
1200.66,431,refund,San Diego,0
4593.29,901,purchase,San Diego,0
3349.47,122,refund,Houston,0
3409.05,102,purchase,Houston,0
146.4,967,purchase,Los Angeles,0
1047.11,535,purchase,Phoenix,0
1301.75,558,purchase,Philadelphia,0
372.78,712,purchase,New York,0
2906.03,84,refund,Dallas,0
2679.58,361,purchase,Philadelphia,0
671.69,605,refund,Philadelphia,0
1117.05,327,refund,New York,0
1348.04,686,purchase,Houston,0
4210.14,786,purchase,Philadelphia,0
4509.1,212,refund,San Diego,0
1788.41,896,purchase,Houston,0
3021.35,195,purchase,San Diego,0
4874.36,303,refund,Chicago,0
1062.55,489,refund,Los Angeles,0
2229.09,368,refund,Phoenix,0
4735.69,941,refund,Houston,0
3635.9,912,refund,Philadelphia,0
3957.34,154,purchase,New York,0
1252.36,544,purchase,Houston,0
2793.05,539,refund,Chicago,0
566.44,504,refund,San Jose,0
1742.14,395,refund,Dallas,0
1904.81,693,purchase,San Antonio,0
3357.13,511,purchase,New York,0
2193.2,602,refund,Los Angeles,0
214.46,229,purchase,Philadelphia,0
2454.2,22,purchase,Chicago,0
2926.09,713,refund,Phoenix,0
4413.47,522,purchase,Phoenix,0
2422.03,703,purchase,Philadelphia,0
2475.66,829,refund,San Diego,0
4362.22,245,purchase,San Diego,0
2679.7,926,purchase,Dallas,0
238.04,568,refund,Philadelphia,0
4526.06,201,purchase,Los Angeles,0
1407.65,358,purchase,Philadelphia,1
1387.25,935,refund,New York,0
4254.39,654,refund,Dallas,0
327.65,848,refund,San Jose,0
3755.69,532,purchase,New York,0
2521.76,805,purchase,Philadelphia,0
1316.72,947,purchase,Dallas,0
2296.64,613,purchase,New York,0
1505.15,894,refund,Dallas,0
1297.03,273,refund,Chicago,0
1588.73,161,purchase,San Diego,0
1279.92,888,refund,San Antonio,0
4527.2,361,purchase,Phoenix,0
4564.53,13,refund,San Antonio,0
4366.27,178,refund,New York,0
2274.58,914,refund,San Diego,0
2981.95,522,refund,Dallas,0
3341.42,58,purchase,Dallas,0
911.31,585,purchase,Philadelphia,0
4591.05,213,refund,New York,0
992.85,554,purchase,Chicago,0
2929.29,802,purchase,Chicago,0
2254.13,284,refund,San Diego,0
750.6,100,purchase,Los Angeles,0
3323.96,1000,refund,Los Angeles,0
3374.49,668,purchase,Philadelphia,0
3992.4,359,purchase,New York,0
183.54,705,purchase,New York,0
852.53,694,purchase,San Antonio,0
2934.86,101,refund,Houston,0
2072.84,183,refund,New York,0
2923.25,962,refund,San Jose,0
4258.71,282,purchase,San Jose,0
4136.06,65,refund,San Antonio,0
1849.94,220,purchase,Houston,0
4247.25,926,refund,Los Angeles,0
2463.35,18,refund,San Jose,0
4429.38,592,purchase,New York,0
2616.94,843,refund,San Antonio,0
522.73,92,purchase,New York,0
1745.1,68,purchase,New York,0
1837.08,684,refund,Chicago,0
619.48,427,purchase,Dallas,0
616.34,869,refund,San Diego,0
1057.76,399,refund,Dallas,0
4760.02,247,refund,San Antonio,0
4256.7,897,refund,Dallas,0
2101.04,378,purchase,San Antonio,0
2943.87,657,refund,Phoenix,0
1835.1,85,refund,Dallas,0
1354.66,845,refund,San Diego,0
1442.19,655,refund,Philadelphia,0
3005.9,658,refund,Houston,0
636.86,299,refund,Phoenix,0
1344.99,141,refund,Phoenix,0
259.78,514,refund,Houston,0
3675.5,956,refund,San Jose,0
4833.55,818,refund,San Antonio,0
4601.81,629,purchase,San Jose,0
4539.76,811,refund,Chicago,0
4159.75,550,purchase,Dallas,0
1131.85,132,refund,Philadelphia,0
3513.48,573,refund,San Jose,0
2601.72,343,purchase,Dallas,0
1312.16,820,purchase,Phoenix,0
4152.83,400,refund,New York,0
500.64,673,purchase,Houston,0
4500.43,715,purchase,San Diego,0
2503.45,581,refund,Houston,0
4688.8,147,purchase,Chicago,0
3253.16,278,purchase,San Diego,0
353.96,595,purchase,Houston,0
4545.76,2,refund,Philadelphia,0
4114.41,415,refund,Los Angeles,0
4748.66,554,purchase,San Antonio,0
755.24,733,refund,Philadelphia,0
3252.16,84,purchase,Dallas,0
199.62,403,purchase,San Jose,0
3653.41,125,refund,Dallas,0
4669.19,401,refund,Dallas,0
1932.43,342,refund,San Jose,0
4038.95,525,purchase,San Antonio,0
1883.35,73,refund,Philadelphia,0
2852.28,789,refund,San Jose,0
85.77,876,refund,Los Angeles,0
3904.28,414,purchase,San Antonio,0
2660.39,204,refund,New York,0
4948.06,790,refund,New York,0
1928.22,848,refund,Los Angeles,0
918.48,491,refund,New York,0
4628.41,25,refund,Dallas,0
2417.78,448,purchase,Los Angeles,0
188.48,764,refund,San Jose,0
1733.24,805,purchase,Philadelphia,0
2618.27,534,purchase,Phoenix,0
656.66,885,purchase,San Antonio,0
2003.48,409,purchase,Chicago,0
1310.28,178,refund,New York,0
4205.74,5,purchase,New York,0
109.46,405,purchase,San Jose,0
1072.5,331,purchase,San Antonio,0
341.79,284,purchase,New York,0
4831.66,525,refund,San Jose,0
294.63,999,purchase,Houston,0
1015.33,588,refund,San Antonio,1
19.48,414,refund,San Antonio,0
4980.16,178,purchase,Dallas,0
2712.54,480,refund,San Antonio,0
4504.58,565,refund,Philadelphia,0
3497.95,851,purchase,Dallas,1
134.85,427,refund,New York,0
3623.57,829,refund,New York,0
3970.7,532,purchase,Chicago,0
812.78,559,refund,San Diego,0
4698.55,633,purchase,Philadelphia,0
4720.52,99,refund,Philadelphia,0
3721.35,4,purchase,San Jose,0
4535.66,3,refund,Chicago,0
3109.69,81,refund,Houston,0
2296.54,549,refund,Dallas,0
1715.38,113,refund,Houston,0
3071.9,350,purchase,Phoenix,0
243.71,324,purchase,Dallas,0
3912.16,586,refund,San Jose,0
937.89,178,purchase,San Jose,0
1354.41,382,refund,Dallas,0
2867.01,582,purchase,Philadelphia,0
2497.95,642,refund,Los Angeles,0
1582.85,768,purchase,Los Angeles,0
3516.64,434,purchase,Houston,0
3835.91,667,purchase,Dallas,0
930.86,396,refund,San Jose,0
3621.1,643,refund,San Antonio,0
1110.79,525,purchase,New York,0
2281.9,461,refund,Houston,0
3080.22,949,purchase,Philadelphia,0
2965.37,116,purchase,Philadelphia,0
1961.91,206,purchase,San Diego,0
4395.05,839,purchase,Phoenix,0
3640.13,352,refund,San Jose,0
950.45,356,refund,Chicago,0
2577.96,438,refund,Los Angeles,0
4548.21,313,refund,Phoenix,0
1258.4,913,purchase,Houston,0
1791.46,689,purchase,Chicago,0
1735.05,453,purchase,Chicago,0
4671.26,773,refund,San Antonio,0
3527.46,253,purchase,Philadelphia,0
4501.05,940,purchase,San Jose,0
907.27,79,refund,San Jose,0
3533.34,532,purchase,Phoenix,0
4172.96,333,purchase,San Antonio,0
2690.45,813,purchase,Houston,0
531.78,503,purchase,New York,0
4532.19,37,purchase,New York,0
1205.66,626,refund,San Jose,0
1467.74,387,purchase,Los Angeles,0
4697.68,692,purchase,San Diego,0
4313.44,884,refund,Houston,0
4750.06,939,refund,San Diego,0
3749.38,943,purchase,New York,0
2587.77,878,refund,Los Angeles,0
665.42,191,refund,Philadelphia,0
297.76,237,purchase,San Diego,0
1078.2,149,purchase,Phoenix,0
4651.2,164,purchase,Los Angeles,0
3097.06,613,purchase,Philadelphia,0
3519.32,864,purchase,Houston,0
1035.23,903,refund,Houston,0
1633.24,73,refund,San Diego,0
142.82,505,purchase,San Jose,0
1476.71,139,purchase,Los Angeles,0
776.95,178,purchase,Phoenix,0
644.37,515,purchase,New York,0
2882.66,627,purchase,Phoenix,0
2972.91,548,refund,Houston,0
2950.12,206,purchase,Houston,0
4620.73,990,purchase,Chicago,0
4863.6,889,purchase,Dallas,0
1685.14,408,purchase,Phoenix,0
808.42,159,refund,New York,0
2708.02,750,refund,San Diego,0
4834.16,879,purchase,San Jose,0
1424.08,609,purchase,Los Angeles,0
2807.97,983,refund,Los Angeles,0
4473.68,927,refund,Chicago,0
3068.73,872,refund,Los Angeles,0
4034.21,492,refund,Houston,1
3089.26,974,purchase,New York,0
1149.74,67,refund,Houston,0
3577.89,665,purchase,Philadelphia,0
3954.96,1000,purchase,Phoenix,0
2371.8,650,purchase,Dallas,0
2399.7,209,refund,Chicago,0
4645.26,509,purchase,New York,0
2781.96,524,purchase,Houston,0
2122.95,809,refund,Los Angeles,0
4789.39,317,purchase,Chicago,0
2985.2,786,refund,Philadelphia,0
4751.28,758,refund,San Diego,0
1796.83,526,refund,San Diego,0
816.09,166,refund,New York,0
2389.59,702,refund,Philadelphia,0
1856.06,973,purchase,San Jose,0
2293.06,651,purchase,Los Angeles,0
19.71,722,refund,San Jose,0
2585.86,730,refund,New York,0
586.36,318,refund,New York,0
4434.74,690,purchase,Phoenix,0
3995.01,80,purchase,San Jose,0
1890.47,948,purchase,Los Angeles,0
32.41,660,refund,Houston,0
3389.54,1,refund,Dallas,0
4847.75,242,refund,San Jose,0
2785.07,27,refund,Houston,0
2922.72,689,purchase,Houston,0
3121.42,826,purchase,Los Angeles,0
4248.21,646,purchase,Phoenix,0
752.01,740,purchase,Phoenix,0
4876.05,802,purchase,Phoenix,0
4582.03,878,purchase,New York,1
3660.79,124,refund,Chicago,0
1774.79,778,refund,Los Angeles,0
4481.96,744,refund,New York,0
1513.73,108,purchase,San Antonio,0
4795.55,172,refund,Phoenix,0
3745.29,26,purchase,San Jose,0
1962.49,507,purchase,Dallas,0
499.32,547,refund,San Antonio,0
764.8,304,purchase,San Jose,0
410.77,503,purchase,Houston,0
3015.81,281,purchase,Los Angeles,0
3313.27,481,purchase,New York,0
3232.97,285,refund,Los Angeles,0
4783.68,723,refund,Houston,0
2442.14,991,purchase,New York,0
4032.48,764,purchase,Houston,0
2830.6,875,purchase,Philadelphia,0
4501.21,661,purchase,San Antonio,0
2040.77,53,purchase,Houston,0
640.91,68,refund,Chicago,0
441.98,4,refund,San Antonio,0
4202.95,885,purchase,San Diego,0
2845.89,157,refund,Philadelphia,0
2042.61,89,purchase,New York,0
439.18,859,purchase,Dallas,0
441.21,201,purchase,Philadelphia,0
260.75,833,purchase,Dallas,0
3111.27,385,purchase,San Antonio,0
2221.72,986,refund,Houston,0
945.06,11,purchase,Houston,0
1818.93,782,refund,San Antonio,0
850.94,593,refund,San Jose,0
1850.67,730,purchase,Houston,0
2948.47,578,purchase,Dallas,0
211.47,344,purchase,Philadelphia,0
1553.8,109,purchase,Phoenix,0
3027.55,208,purchase,New York,0
4806.2,371,purchase,Los Angeles,0
2686.74,7,refund,San Antonio,0
3039.54,24,purchase,Dallas,0
3896.9,652,refund,San Jose,0
568.08,800,refund,Dallas,0
1499.39,962,refund,Houston,0
4262.2,958,refund,San Diego,0
4017.08,374,purchase,Houston,0
1066.42,783,refund,Philadelphia,0
4668.16,695,refund,Phoenix,0
3107.41,385,refund,Chicago,0
1015.92,92,purchase,San Jose,0
1324.27,255,purchase,New York,0
1103.19,890,refund,Chicago,0
1953.68,788,refund,Houston,0
3505.83,561,refund,Dallas,0
3467.87,748,purchase,Houston,0
3259.65,777,purchase,Houston,0
619.75,675,purchase,Phoenix,0
1049.9,416,refund,San Diego,0
4429.63,705,purchase,Phoenix,0
1140.14,275,purchase,San Jose,0
2937.58,929,purchase,San Antonio,0
4902.54,835,refund,San Diego,0
718.29,540,refund,Chicago,0
3044.76,707,purchase,Philadelphia,0
2216.72,847,refund,Houston,0
2055.24,590,purchase,Los Angeles,0
569.9,743,purchase,New York,0
3169.99,654,purchase,San Jose,0
3862.26,300,purchase,Houston,0
3916.15,196,purchase,San Jose,0
