summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
220885362,2017-02-28 00:00:00,"At 1:50 a.m. on January 11, 2017, an employee was cleaning a DNC machine.  The employee reached into the machine while it was running, slipped, and his hand came into contact with the moving dicer.  The employee amputated part of their hand and lacerated the remaining fingers. The employee was hospitalized and treated for his injuries. ",EMPLOYEE DRIVES OFF EMBANKMENT AND IS KILLED IN ATV ACCIDENT,"CRUSHING,CAUGHT BETWEEN,STRUCK BY",N,"Excavation, landfill",25,21,A,"Under $50,000",E,Other,Fatal,2,"Bruising, Contusion",22,Wrist,0,Rep. Motion/pressure,10.690618316836872,Flying Object Action,16,Insufficient /Lack/Expose/Biological Monitoring.,1,Regularly Assigned,2150,11,0
220934988,2016-01-15 00:00:00,"At 9:30 a.m. on September 4, 2015, an employee was digging a ditch on a golf course. He told his supervisor that he felt sick and was taken to the office where he collapsed. The employee died from a heart attack ",EMPLOYEE FRACTURES LEG IN FALL FROM STEP LADDER,"PIPE,UNSECURED,HEART ATTACK,HEART,HEAD,FALLING OBJECT,STRUCK BY",M,Pipeline,73,139,G,"$10,000,000 to $20,000,000",A,New project or new addition,Nonfatal,12,"Fracture, Broken Bones",11,Neck,2,Other,6.920413414498812,Flying Object Action,4,Lockout/Tagout Procedure Malfunction,1,Regularly Assigned,170,29,0
220812606,2017-01-13 00:00:00,"At approximately 5:30 a.m. on February 23, 2017, Employee #1 was trying to unjam a rotational molding machine when his fingers were caught in the pulley on the end of the track.  He suffered a laceration and partial amputation to his last two fingers on his right hand and was hospitalized. ",EMPLOYEE LOSES CONSCIOUSNESS AND DIES WHILE PACKING MOVING T,"CRUSHING,HEAD,MAINTENANCE,LOCKOUT/TAGOUT,CONSTRUCTION VEHICLE,CONCRETE TRUCK",H,Other building,15,13,C,"$250,000 to $500,000",B,Alteration or rehabilitation,Fatal,7,Serious Fall/Strike,20,Neck,5,Fall (from elevation),10.25658498256724,"Weather, Earthquake, Etc.",15,Malfunction Neuromuscular System,2,Not Regularly Assigned,2037,14,0
220946461,2016-12-19 00:00:00,"On February 19, 2015, employees were to perform preventive maintenance inspection inside of a scrubber, which is maintained free of oxygen by means of a nitrogen blanket.  When the designated attendant could not find the entrant employee, other employees searched for him.  The entrant employee was found inside the scrubber (a metal tube) where he had been preparing to clean it out.  He was found to be unresponsive. The employee was pronounced deceased at the scene by the Lake County coroner. ",EMPLOYEE STRUCK BY FORKLIFT AND FRACTURES FOOT,"RESPIRATOR,ASPHYXIATED,AIR LINE,ARGON,INHALATION,BRAIN,AIR LINE RESPIRATOR,AIR CONTAMINATION,RESPIRATORY",C,Commercial building,10,7,0, ,0, ,Nonfatal,10,"Bruising, Contusion",27,Lungs (Asphyxiation),7,Rubbed/abraded,17.128285637416592,Radiation Condition,10,Position Inappropriate For Task,1,Regularly Assigned,1340,16,0
220790646,2016-12-12 00:00:00,"At 12:08 p.m. on October 22, 2015, a crew of three was working covering up a pipe that had been installed under a new roadbed.  There were four pieces of equipment on site, an Ingersoll Rand roller, a John Deer bull dozer, a John Deer pan, and a John Deer excavator.  Employee #1 was operating the Ingersoll Rand roller compacting dirt on the new roadbed.  While operating the roller on the North side of the roadbed, the roller rolled over on its left side and Employee #1 was caught under the ROPS (Roller Over Protection System).  The left front of the ROPS landed on Employee #1's upper chest and neck.  The roller came to rest on the Northern most edge of the new roadbed.  There was an approximate 24 foot drop from the roadbed to where the roller had come to rest.  Employee #1 received a cervical spine fracture due to rollover of compactor and was killed according to the coroner's report. ",EMPLOYEE FALLS FROM AN AERIAL LIFT AND WAS KILLED.,"PROTECTIVE CLOTHING,MOLTEN METAL,MOLD PLATES,HEAT,FLOWING MATERIAL,BURN,STEEL,STRUCK BY",C,Commercial building,40,5,C,"$250,000 to $500,000",A,New project or new addition,Nonfatal,0,Fall/strike,3,Hip,2,Caught in or between,12.336331996115035,Gas/Vapor/Mist/Fume/Smoke/Dust,7,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,8400,2,0
220909279,2015-07-22 00:00:00,"At 4:30 a.m. on January 4, 2016, a worker was leaving work when he was stabbed by a homeless person.  The worker died as a result of his injuries. ",EMPLOYEE IS INJURED IN FALL WHEN SINGLE-POLE SCAFFOLD COLLAP,"TREE TRIMMING,FACE,HEAD,TREE LIMB",L,"Shoreline development, dam, reservoir",46,14,F,"$5,000,000 to $10,000,000",E,Other,Fatal,10,"Bruising, Contusion",7,0,3,Fall (same level),4.787733919851598,Pinch Point Action,11,Insufficient /Lack/Engineering Controls,1,Regularly Assigned,530,6,0
220788046,2016-09-12 00:00:00,"At 8:30 a.m. on April 2, 2017, an employee was standing on a ladder and fell. The employee sustained a broken leg. ",EMPLOYEE IS FOUND UNRESPONSIVE IN LOCKED BREAK ROOM,"CRUSHING,STRUCK BY,CONSTRUCTION VEHICLE,MATERIAL HANDLING,POWERED INDUSTRIAL VEHICLE",O,"Power line, transmission line",14,73,D,"$500,000 to $1,000,000",D,Demolition,Nonfatal,22,Eye injury,3,Abdomen,8,Rep. Motion/pressure,7.528340458495576,Shear Point Action,4,Distracting Actions By Others,1,Regularly Assigned,S777,8,0
220887376,2016-07-09 00:00:00,"At 6:00 p.m. on May 31, 2016, Employee #1 and Employee #2 were part of a crew of employees moving a 48-foot pump jack scaffold support leg.  Employee #1, working from the ground, lifted the bottom of the scaffold leg.  Employee #2 was working from an elevated box secured to the forklift forks of a Genie Rough Terrain Forklift, Model GTH844.  Employee #2 held on to the upper section of the scaffold leg, while the employer operated the rough-terrain forklift. Employee #1 and employee #2 both received an electrical shock when the 48-foot scaffold support leg was moved within approximately 6 feet of 7.2 KV power lines overhead and Employee #1 was killed. ",EMPLOYEE FALLS FROM TRUCK LADDER AND LATER DIES,"CRUSHED,AMPUTATION,FINGER",M,Pipeline,0,3,B,"$50,000 to $250,000",E,Other,Fatal,15,Fall/strike,16,Whole Body,10,Absorption,10.832560671776237,Chemical Action/Reaction Expos,5,Perception Malfunction Task-Environment,2,Not Regularly Assigned,X100,30,0
220957252,2015-11-25 00:00:00,"At 12:00 p.m. on February 1, 2017, an employee was exiting a restroom, when he collided with another worker.  The employee fell to the ground, suffering a herniated disc in his back. The employee was hospitalized and treated for his injury. ",WORKER FRACTURES JAW IN FALL FROM LADDER,"SODIUM HYDROXIDE,CHEMICAL,CAUSTIC,BURN",F,Power plant,21,14,F,"$5,000,000 to $10,000,000",B,Alteration or rehabilitation,Nonfatal,18,Freezer burn,27,Lungs (Asphyxiation),0,Rep. Motion/pressure,9.309698390844845,"Weather, Earthquake, Etc.",17,Insufficient /Lack/Protective Work Clothing/Equipment,2,Not Regularly Assigned,L130,8,0
220913321,2016-02-19 00:00:00,"At 1:20 p.m. on April 3, 2017, an employee's finger was pinched between a dolly and trailer. The employee's right middle finger tip was amputated. ",EMPLOYEE LEG AND FOOT IS CRUSHED WHEN STRUCK BY FORKLIFT,"STRUCK BY,SPLINTER,DIE SAFETY DEVICE,IRON WORKER,NECK,LIMIT SWITCH,MACHINE GUARDING",I,"Highway, road, street",11,6,0, ,A,New project or new addition,Nonfatal,17,Fall/strike,24,Forearm,13,Fall (same level),10.591141906475414,Temperature +/- Tolerance Lev.,20,Insufficient /Lack/Engineering Controls,2,Not Regularly Assigned,170,21,0
220925242,2017-01-14 00:00:00,"At 11:30 a.m. on February 15, 2017, and employee was operating a Crown electric standup-/rider pallet truck, Model Number PR3020-60, Serial Number A219967, to move a pallet located in Warehouse Aisle 4/5.  The employee backed up too far and contacted the shelving unit Rack 5, Bay 5J1.  The employee's body was crushed between the guard of the pallet truck and the steel shelf. The guard of the pallet truck extended vertically 49.25 inches.  The horizontal shelf was located 54.25 inches above the floor.  The height difference allowed the pallet truck to slide under the shelf, pinning the employee between the pallet truck and the shelf.  The employee sustained injuries that included two broken ribs and a lacerated liver and was hospitalized. ",LOGGER IS KILLED WHEN STRUCK BY TREE,"SPINE,FALL,RESIDENTIAL CONSTRUCTION,ROOF,FRACTURE",O,"Power line, transmission line",8,19,C,"$250,000 to $500,000",E,Other,Nonfatal,17,Fall/strike,16,Hand,5,Struck-by,14.639394526166127,Flammable Liquid/Solid Exposure,15,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,337,12,0
220929038,2015-10-26 00:00:00,"At 8:20 a.m. on January 24, 2017, an employee was walking up a hill on a private road to check the facility grounds.  The employee slipped and fell on black ice, fracturing his femur.  The employee was hospitalized and treated for his injuries. ",WORKER SUFFERS HEART ATTACK AND DIES,"STRUCK BY,FALLING OBJECT,FRACTURE,NECK",0, ,11,15,C,"$250,000 to $500,000",0, ,Nonfatal,3,"Asphyxiation, Drowning",10,Neck,3,Inhalation,10.101265114063303,Overpressure/Underpressure,1,Safety Devices Removed/Inoperable,1,Regularly Assigned,10,16,0
220897391,2015-08-14 00:00:00,"At 10:15 a.m. on March 10, 2017, an employee was replacing filters to a step down transformer.  The employee came into contact with 4,160 volts and was electrocuted. ",EMPLOYEE'S LEG IS AMPUTATED WHEN INDUSTRIAL POWERED REACH TR,"PELVIS,ELEVATED WORK PLATFORM,FALL PROTECTION,FALL,DISMANTLING,STRUCK AGAINST,FRACTURE,SCAFFOLD",F,Power plant,46,14,0, ,C,Maintenance or repair,Fatal,6,"Amputation, Crushing",12,Fingers,6,Caught in or between,3.444565031329577,Materials Handling Equip./Method,15,Defective Equipment In Use,1,Regularly Assigned,337,26,0
220941843,2015-08-23 00:00:00,"At 10:30 a.m. on January 4, 2016, a worker was checking email in an office building when chemicals caught fire and the building exploded. The worker was engulfed by flames and smoke. The worker was killed in the explosion. ",EMPLOYEE IS RUN OVER AND KILLED BY VEHICLE,"AMPUTATED,LACERATION,CHAIN SAW,FINGER,CHAIN",O,"Power line, transmission line",7,19,B,"$50,000 to $250,000",E,Other,Nonfatal,22,Fall from Elevation,17,Multiple,9,Rubbed/abraded,17.05986641243578,Radiation Condition,15,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,1803,9,0
220929434,2015-12-20 00:00:00,"At 2:00 p.m. on April 19, 2017, an employee was disassembling an Omega model of a Leitner-Poma ski lift grip for a safety inspection. During disassembly, a malfunction occurred and stored potential energy was released that caused contact with the employee's pinky and index fingers on his right hand. Both fingers were amputated at the first knuckle. ",EMPLOYEE FELL WHILE CLIMBING STAIRS AND WAS KILLED.,"STRUCK BY,BEAM,BACK,CAUGHT BETWEEN,CRUSHED,MACHINE GUARDING,CONVEYOR",M,Pipeline,14,139,A,"Under $50,000",0, ,Fatal,18,Fire Burn,29,Multiple,4,Struck against,15.245291308856638,Illumination,16,Insufficient /Lack/Expose/Biological Monitoring.,1,Regularly Assigned,337,29,0
220886303,2017-03-13 00:00:00,Employee is hospitalized from an explosion and no other details were given. ,ONE EMPLOYEE IS KILLED AND ANOTHER INJURED IN TANK EXPLOSION,TRACTOR TRAILER,J,Bridge,15,9,G,"$10,000,000 to $20,000,000",C,Maintenance or repair,Fatal,15,Puncture,11,Fingers,5,Fall (from elevation),2.890728326561968,Pinch Point Action,9,Safety Devices Removed/Inoperable,1,Regularly Assigned,C730,21,0
220894307,2015-10-03 00:00:00,"At 10:30 a.m. on August 21, 2015, Employee #1 was throwing boxes off of a mezzanine. The employee lost his balance, fell through the wooden guardrail and fell to the floor below. Employee #1 fractured his vertebrae and was killed. ",EMPLOYEE'S IS LEG FRACTURED WHILE FIXING EQUIPMENT,"CAUGHT IN,COUNTERBALANCE,LEG,FALL,CONTUSION",P,Other heavy construction,15,8,E,"$1,000,000 to $5,000,000",A,New project or new addition,Fatal,9,Dislocation,15,Arm,9,Bite/sting/scratch,9.822830160608238,Gas/Vapor/Mist/Fume/Smoke/Dust,18,Insufficient /Lack/Protective Work Clothing/Equipment,2,Not Regularly Assigned,C730,4,0
220874903,2015-10-22 00:00:00,"At 11:00 a.m. on March 13, 2017, an employee was using paint line machinery to coat a roll of sheet aluminum. During operation, the tail of the coil on the machinery was lost and the employee and his coworkers were bringing the tail back to be attached to the next coil. Air pressure was lost in the tower, resulting in a roller being sent upwards, catching the employee's right arm between the structural steel of the tower and the roller carriage. The employee fractured his right humerus. ",EMPLOYEE FALLS FROM CLIFF AND IS KILLED,"STRUCK AGAINST,HEAD,LADDER,FALL,FALL PROTECTION",E,Refinery,12,9,B,"$50,000 to $250,000",0, ,Fatal,3,"Bruising, Contusion",8,Hip,9,Fall (same level),15.377486605406755,Illumination,16,Insufficient /Lack/Expose/Biological Monitoring.,2,Not Regularly Assigned,S777,6,0
220937734,2017-03-28 00:00:00,"At 10:45 a.m. on February 28, 2017, an employee was working for a masonry contractor. He was standing on scaffolding and he jumped from the scaffolding to a roof. He fell, breaking two finger on his left hand and he was hospitalized. ",EMPLOYEE CATCHES FINGER IN MECHANICAL PRESS BRAKE AND AMPUTA,"SEAT BELT,ATV,ROLL-OVER,VEHICLE",N,"Excavation, landfill",46,12,D,"$500,000 to $1,000,000",C,Maintenance or repair,Nonfatal,21,Laceration,3,Neck,8,Bite/sting/scratch,3.1344014716347925,Shear Point Action,5,Perception Malfunction Task-Environment,1,Regularly Assigned,1340,1,0
220942973,2017-01-16 00:00:00,"On December 9, 2016 at 8:45 a.m., an employee fell from a damaged ladder. The employee was using the ladder to access an I-beam to walk onto a catwalk on a bridge crane, with the intention of the changing the light bulbs. The worker fell from the ladder, hitting the concrete below. Both feet of the ladder were badly damaged. ",EMPLOYEE KILLED WHEN STRUCK BY MOTORIST,"PALLET,CAUGHT BETWEEN,TRUCK,PLATFORM,PALLETIZED CARGO,FOOT,POWERED INDUSTRIAL VEHICLE,MATERIAL HANDLING,FRACTURE",E,Refinery,2,4,D,"$500,000 to $1,000,000",B,Alteration or rehabilitation,Nonfatal,13,Freezer burn,6,Elbow,3,Ingestion,10.79805924404464,Chemical Action/Reaction Expos,4,Equipment Inappropriate For Operation,2,Not Regularly Assigned,2150,18,0
220913172,2016-09-26 00:00:00,"At approximately 10:00 a.m. on April 10, 2017, an employee was directing tree trunk piece after it was cut. A large piece of the tree trunk fell and hit the employee on the head. The employee suffered blunt force trauma to the head and was killed. ","EMPLOYEE FALLS AND FRACTURES HIP WHEN DECK COLLAPSES, LATER ","STRUCK BY,NECK,TREE LIMB,CHAIN SAW,CRUSHED,HEAD,FALLING OBJECT",H,Other building,12,13,B,"$50,000 to $250,000",0, ,Fatal,17,Dislocation,4,Head,5,Fall (from elevation),6.2670096050227215,Pinch Point Action,9,"Misjudgment, Hazardous Situation",1,Regularly Assigned,8330,10,0
220930556,2016-03-31 00:00:00,"At 10:00 p.m. on February 28, 2017, an employee was using a 3 foot air wand to blow off excess media from a steel beam that was emerging from a shot blasting machine. As the beam continued to emerge from the shot blasting machine on rollers, the employee placed his right hand on the roller bed, resulting in his right index and middle fingers being pinned between the steel beam and the rollers. His right middle finger was amputated at its tip and the index finger sustained abrasions. ",EMPLOYEE IS STRUCK AND INJURED BY CAR WHILE CROSSING STREET,"CAUGHT IN,ASPHYXIATED,ROTATING PARTS,ARM,LOCKOUT/TAGOUT,AGRICULTURE MACHINERY/VEHICLE",M,Pipeline,8,9,F,"$5,000,000 to $10,000,000",B,Alteration or rehabilitation,Nonfatal,11,Eye injury,9,Femur,9,Ingestion,17.044124509345814,Radiation Condition,12,Distracting Actions By Others,1,Not Regularly Assigned,640,27,0
220887129,2017-02-07 00:00:00,"At 6:30 p.m. on January 18, 2017, an employee was connecting a cement mixer to a truck for towing. As he was standing between the truck and the cement mixer trailer, he was struck by the truck. The employee sustained a broken leg as a result, which he was hospitalized for treatment. ",EMPLOYEE FALLS FROM ELEVATED PLATFORM AND INJURES RIGHT SHOU,"TREE TRIMMING,TREE FELLING,FALL",D,Manufacturing plant,8,6,A,"Under $50,000",C,Maintenance or repair,Fatal,10,"Amputation, Crushing",19,Whole Body,5,Struck-by,12.314019867265774,Overpressure/Underpressure,10,Position Inappropriate For Task,2,Not Regularly Assigned,337,22,0
220921654,2017-01-27 00:00:00,"At 11:30 a.m. on May 5, 2017, an employee was spraying weeds from a 6 by 6 ATV.  The employee lost control and was caught underneath the ATV when it rolled over.  The employee was killed. ",EMPLOYEE IS FALLS THROUGH FLOOR HOLE AND IS KILLED,"TREE TRIMMING,HEAD,LOGGING,FALLING OBJECT,CHEST,CHAIN SAW,STRUCK AGAINST",B,Multi-family dwelling,16,46,F,"$5,000,000 to $10,000,000",C,Maintenance or repair,Nonfatal,4,Freezer burn,17,Face,9,Rep. Motion/pressure,2.966268334822586,Catch Point/Puncture Action,11,Insufficient /Lack/Protective Work Clothing/Equipment,1,Regularly Assigned,X100,17,0
220925077,2015-07-01 00:00:00,"At approximately 3:45 p.m. on January 25, 2017, an employee was pruning grape vines. Later, the employee was discovered slumped over in the row next to a vine. The employee had apparently died of a heart attack. ",EMPLOYEE IS PINNED AND KILLED BENEATH MOBILE HOME THAT SHIFT,"CARDIAC ARREST,HEART ATTACK,ROOF,CARDIOVASC SYSTEM",P,Other heavy construction,0, ,A,"Under $50,000",A,New project or new addition,Nonfatal,6,Electrocution,25,Right Eye,10,Bite/sting/scratch,10.82536227452518,Temperature +/- Tolerance Lev.,12,Perception Malfunction Task-Environment,2,Not Regularly Assigned,10,0,0
220939078,2015-11-29 00:00:00,"At approximately 11:00 a.m. on November 4, 2016, Employee #1 was inside one compartment of a Beall cargo Tank, unit number 300.  He was pressure testing a void with the use of compressed air.  Due to over pressurization a baffle bulkhead burst and struck him and Employee #1 died. ",EMPLOYEE CATCHES FINGER IN DRAWER AND IS LATER AMPUTATED,"ROOFER,ROOF,IMPALED,FALL,STRUCK AGAINST",A,Single family or duplex dwelling,9,15,0, ,D,Demolition,Nonfatal,16,Fall from Elevation,29,Lungs (Asphyxiation),13,Inhalation,16.89422116965416,Sound Level,0,Insufficient /Lack/Respiratory Protection,2,Not Regularly Assigned,10,22,0
220923353,2015-10-18 00:00:00,"At approximately 8:30 a.m. on January 3, 2017, Employee #1 was installing a rectifier when he touched an energized object.  Employee #1 received an electrical shock and was hospitalized. ",EMPLOYEE FALLS FROM TREE AND SUFFERS MULTIPLE INJURIES,"PIPE,PPE,CAUGHT IN,FRACTURE,MACHINE GUARDING,AMPUTATION,LACERATION,GLOVE,FINGER",K,"Tower, tank, storage ,elevator",76,73,G,"$10,000,000 to $20,000,000",E,Other,Nonfatal,5,Electrocution,22,Lower Leg,4,Fall (same level),9.998122310053748,Gas/Vapor/Mist/Fume/Smoke/Dust,20,Insufficient /Lack/Written Work Practice Program,1,Regularly Assigned,5010,17,0
220940423,2015-09-14 00:00:00,"At 10:30 p.m. on March 21, 2017, Employee #1 was cleaning out a power boiler hopper. Hot ash fell on the employee, burning fifty percent of his body. Employee #1 was hospitalized for treatment. ",EMPLOYEE REMOVES A SECURED GUARD AND AMPUTATES MIDDLE TOE OF,"STRUCK BY,HEAD,SKULL,FLYING OBJECT,FRACTURE",J,Bridge,5,8,0, ,D,Demolition,Fatal,21,Serious Fall/Strike,9,Face,1,Caught in or between,2.3757644615131452,Overhead Moving/Falling Object Action,11,Position Inappropriate For Task,1,Regularly Assigned,1900,20,0
220887202,2016-10-03 00:00:00,"At 10:20 a.m. om February 6, 2017, an employee was working from a platform with a drawbridge to adjust a lighting fixture that was part of a television production set. As the employee walked backwards, he fell 6 feet into a pit that was under the drawbridge. He sustained a laceration to one of his elbows and a head injury, which he was hospitalized and received treatment. ",EMPLOYEE'S LEFT INDEX FINGER TIP IS AMPUTATED BY A PRESS BRA,"CAUGHT IN,WRIST,NIP POINT,AMPUTATION,MACHINE GUARDING,HEAD,HAND,FRACTURE,FOREARM,FOOT,CONVEYOR,TORSO,CRUSHING,ROLLER--MACH/PART,SHOULDER,SKULL,ROLLER CONVEYOR",E,Refinery,0,4,D,"$500,000 to $1,000,000",E,Other,Fatal,4,Dislocation,24,Hip,4,Inhalation,13.552393022369602,Illumination,18,Insufficient /Lack/Written Work Practice Program,1,Regularly Assigned,5,9,0
